"Cód Transacción","Cód Transacción","Descripción Transacción","Artículo","Descripción Artículo","Planta","Desc. Planta","Cód. Configuración","Dirección","Cantidad","UdM","Dirección Paralela","Ctd Paralela","UdM Paralela","Ubicación","Almacén","Cajón","Fila","Nivel","Caja","Nº Lote","Nº Serie","Cód. Condición","Desc. Cód. Condición","Nº R/D/R","Nº Rev","Fecha Caducidad","Ref Orden 1","Ref Orden 2","Ref Orden 3","Ref Orden 4","Tipo Orden","Coste","Coste Inventario","Coste Total","Creado","Hora Creación","Nota","Realizado Por","Fecha Aplicada","Incl en Art Agr por Periodo","Incl.Valor Agreg. por Per.","Devol/Deshec","Propiedad","Propietario","Nombre Propietario","Propiedad Previo","Propietario Previo","Nombre Propietario Previo","Cód. Programa","Descripción de Programa","Cód Proyecto","Nombre Proyecto","Cód Subproyecto","Descripción Subproyecto","Cód Actividad","Descripción Actividad","Secuencia Actividad","Tiene Errores Contab","Tiene Contab Trasnferidas","Cód Inf Trans Inv","Fecha Aplicada Fecha Modificación","Fecha Aplicada Modificada por Usuario"
"357,497","ARRIVAL","Recepción de Orden de Compra","P02.003.FI0011","ELEMENTO CH-1094 (FILTRADO 5 MICRONES)","05M-O","TERMOPICHINCHA M-O","*","+","30","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","01/01/2999","P100013421","1","1","1","Orden Compra","24.52","735.5","735.5","23/04/2013","8:15:18","","VTIXE","22/04/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","56558","23/04/2013 8:15:18","VTIXE"
"357,597","ARRIVAL","Recepción de Orden de Compra","P02.016.PN0208","PINTURA SINTETICA CREMA","05M-O","TERMOPICHINCHA M-O","*","+","50","GALON","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","","","*","1","","P100013422","1","1","1","Orden Compra","19.38","968.94","968.94","23/04/2013","10:36:47","","VTIXE","22/04/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","56586","23/04/2013 10:36:47","VTIXE"
"357,598","ARRIVAL","Recepción de Orden de Compra","P02.016.PN0134","PINTURA SINTETICA NEGRA","05M-O","TERMOPICHINCHA M-O","*","+","30","GALON","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","P100013422","2","1","1","Orden Compra","19.38","581.36","581.36","23/04/2013","10:36:47","","VTIXE","22/04/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","56586","23/04/2013 10:36:47","VTIXE"
"357,599","ARRIVAL","Recepción de Orden de Compra","P02.016.PN0133","PINTURA SINTETICA AMARILLA","05M-O","TERMOPICHINCHA M-O","*","+","15","GALON","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","P100013422","3","1","1","Orden Compra","19.38","290.68","290.68","23/04/2013","10:36:47","","VTIXE","22/04/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","56586","23/04/2013 10:36:48","VTIXE"
"357,600","ARRIVAL","Recepción de Orden de Compra","P02.016.PN0209","PINTURA SINTETICA VERDE","05M-O","TERMOPICHINCHA M-O","*","+","10","GALON","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","","","*","1","","P100013422","4","1","1","Orden Compra","24.21","242.08","242.08","23/04/2013","10:36:48","","VTIXE","22/04/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","56586","23/04/2013 10:36:48","VTIXE"
"325,599","ARRIVAL","Recepción de Orden de Compra","P07.001.DS0002","DIESEL-2","05M-O","TERMOPICHINCHA M-O","*","+","9,920","GALON","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","","","*","1","","P100012064","1","1","1","Orden Compra","0.92","9,113.68","9,113.68","06/03/2013","17:56:00","","VTIXE","01/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","49474","06/03/2013 17:56:00","VTIXE"
"325,600","ARRIVAL","Recepción de Orden de Compra","P07.001.DS0002","DIESEL-2","05M-O","TERMOPICHINCHA M-O","*","+","9,920","GALON","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","","","*","1","","P100012064","1","1","2","Orden Compra","0.92","9,113.68","9,113.68","06/03/2013","17:58:26","","VTIXE","01/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","49475","06/03/2013 17:58:26","VTIXE"
"325,601","ARRIVAL","Recepción de Orden de Compra","P07.001.DS0002","DIESEL-2","05M-O","TERMOPICHINCHA M-O","*","+","9,920","GALON","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","","","*","1","","P100012064","1","1","3","Orden Compra","0.92","9,113.68","9,113.68","06/03/2013","18:00:41","","VTIXE","01/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","49476","06/03/2013 18:00:41","VTIXE"
"334,487","ARRIVAL","Recepción de Orden de Compra","P01.002.BM0152","BOMBA DE COMBUSTIBLE PARA MOTOR DETROIT SERIE V-71 05199735","05M-O","TERMOPICHINCHA M-O","*","+","1","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","","","*","1","","P100012544","1","1","1","Orden Compra","512.31","512.31","512.31","21/03/2013","13:54:05","","VTIXE","20/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51849","21/03/2013 13:54:05","VTIXE"
"332,750","INTSHIP","Consumo para Solic.Material","P02.029.SO0008","SOPORTE PARA TV.","05INV","TERMOPICHINCHA INV","*","-","1","UNIDAD","","","","SRAI0000","SANTA ROSA INV","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","36901","1","1","1","Solicitud Material","31.36","31.36","31.36","19/03/2013","13:35:51","INT","VTIXE","12/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51537","19/03/2013 13:36:39","VTIXE"
