Cód Transacción	Cód Transacción	Descripción Transacción	Artículo	Descripción Artículo	Planta	Desc. Planta	Cód. Configuración	Dirección	Cantidad	UdM	Dirección Paralela	Ctd Paralela	UdM Paralela	Ubicación	Almacén	Cajón	Fila	Nivel	Caja	Nº Lote	Nº Serie	Cód. Condición	Desc. Cód. Condición	Nº R/D/R	Nº Rev	Fecha Caducidad	Ref Orden 1	Ref Orden 2	Ref Orden 3	Ref Orden 4	Tipo Orden	Coste	Coste Inventario	Coste Total	Creado	Hora Creación	Nota	Realizado Por	Fecha Aplicada	Incl en Art Agr por Periodo	Incl.Valor Agreg. por Per.	Devol/Deshec	Propiedad	Propietario	Nombre Propietario	Propiedad Previo	Propietario Previo	Nombre Propietario Previo	Cód. Programa	Descripción de Programa	Cód Proyecto	Nombre Proyecto	Cód Subproyecto	Descripción Subproyecto	Cód Actividad	Descripción Actividad	Secuencia Actividad	Tiene Errores Contab	Tiene Contab Trasnferidas	Cód Inf Trans Inv	Fecha Aplicada Fecha Modificación	Fecha Aplicada Modificada por Usuario
"1,526,437"	INTSHIP	Consumo para Solic.Material	P12.019.PB0001	PAPEL BOND 75 GR. A4 -RESMA	05M-O	TERMOPICHINCHA M-O	*	-	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1		174488	1	1	1	Solicitud Material	2.84	2.84	2.84	15/01/2016	13:24:08	INT	VTIXE	15/01/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	241286		
"1,520,402"	WOISS	Emitir para Orden de Trabajo	P02.010.TA0037	TAPA PARA BORNERA WDU 2.5	05M-O	TERMOPICHINCHA M-O	*	-	4	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1		2	*		17	Orden Trabajo	0.76	3.02	3.02	06/01/2016	14:20:07		VTIXE	06/01/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	239487		
"1,520,403"	WOISS	Emitir para Orden de Trabajo	P01.140.BT0003	BATERIAS ALCALINA DE 9V	05M-O	TERMOPICHINCHA M-O	*	-	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1		2	*		18	Orden Trabajo	3.74	3.74	3.74	06/01/2016	14:20:09		VTIXE	06/01/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	239487		
"1,520,404"	WOISS	Emitir para Orden de Trabajo	P02.010.TR0069	"TERMINAL TIPO ""U"" # 16-14"	05M-O	TERMOPICHINCHA M-O	*	-	100	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1		2	*		19	Orden Trabajo	0.07	6.68	6.68	06/01/2016	14:20:09		VTIXE	06/01/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	239487		
"1,520,405"	WOISS	Emitir para Orden de Trabajo	P02.010.TR0098	TERMINAL PUNTERA 14-16	05M-O	TERMOPICHINCHA M-O	*	-	200	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1		2	*		20	Orden Trabajo	0.06	11.6	11.6	06/01/2016	14:20:10		VTIXE	06/01/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	239487		
"1,520,406"	WOISS	Emitir para Orden de Trabajo	P02.009.FU0144	FUSIBLE TIPO CARTUCHO 500V 6A	05M-O	TERMOPICHINCHA M-O	*	-	2	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		2	*		21	Orden Trabajo	0.62	1.24	1.24	06/01/2016	14:20:10		VTIXE	06/01/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	239487		
"1,520,407"	WOISS	Emitir para Orden de Trabajo	P02.010.JA0002	JACK CAT5  RJ45	05M-O	TERMOPICHINCHA M-O	*	-	6	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1		2	*		22	Orden Trabajo	0.45	2.72	2.72	06/01/2016	14:20:11		VTIXE	06/01/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	239487		
"1,520,411"	INTSHIP	Consumo para Solic.Material	P12.015.CI0003	CINTA C/AMARILLO PARA ETIQUETADORA	05M-O	TERMOPICHINCHA M-O	*	-	3	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1		173284	1	1	1	Solicitud Material	47.02	141.07	141.07	06/01/2016	14:24:39	INT	VTIXE	06/01/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	239488		
"1,528,198"	WOISS	Emitir para Orden de Trabajo	01.140.BT0020	BATERIA 12V 4 AH	05M-O	TERMOPICHINCHA M-O	*	-	2	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1		45	*		1	Orden Trabajo	490.56	981.12	981.12	19/01/2016	11:11:23		VTIXE	19/01/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	241574		
"1,528,360"	WOISS	Emitir para Orden de Trabajo	P13.009.IN0003	PAÑOS ABSORBENTES DE DERIVADOS DE PETROLEOS	05M-O	TERMOPICHINCHA M-O	*	-	10	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1	01/01/2999	10	*		1	Orden Trabajo	1.28	12.77	12.77	19/01/2016	12:18:33		VTIXE	19/01/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	241608		
