PROVINCIA;CANTON;PARROQUIA;TIPO DE INSCRIPCION;AÑO;MES;TOTAL
AZUAY;CUENCA;SAN BLAS;Tardías (hasta 14 años);2015;1;302
AZUAY;CUENCA;HUAYNACAPAC;Oportunas (hasta 30 días);2015;1;197
AZUAY;CAMILO PONCE ENRIQUE;CAMILO PONCE ENRIQUEZ;Oportunas (hasta 30 días);2015;1;2
AZUAY;PAUTE;PAUTE;Tardías (hasta 14 años);2015;1;25
AZUAY;SANTA ISABEL;SANTA ISABEL;Oportunas (hasta 30 días);2015;1;13
AZUAY;SIGSIG;SIGSIG;Oportunas (hasta 30 días);2015;1;19
AZUAY;GIRON;GIRON;Oportunas (hasta 30 días);2015;1;6
AZUAY;CUENCA;SAN BLAS;Tardías occuridas en el exterior;2015;1;33
AZUAY;CUENCA;HUAYNACAPAC;Tardías (hasta 14 años);2015;1;129
AZUAY;CUENCA;SAN BLAS;Oportunas (hasta 30 días);2015;1;359
AZUAY;GUALACEO;GUALACEO;Tardías (hasta 14 años);2015;1;50
AZUAY;GIRON;GIRON;Tardías (hasta 14 años);2015;1;13
AZUAY;CAMILO PONCE ENRIQUE;CAMILO PONCE ENRIQUEZ;Tardías (hasta 14 años);2015;1;25
AZUAY;SIGSIG;SIGSIG;Tardías (pasado los 14 años);2015;1;2
AZUAY;PAUTE;PAUTE;Tardías (pasado los 14 años);2015;1;1
AZUAY;NABON;NABON;Oportunas (hasta 30 días);2015;1;1
AZUAY;SANTA ISABEL;SANTA ISABEL;Tardías (hasta 14 años);2015;1;22
AZUAY;SIGSIG;SIGSIG;Tardías (hasta 14 años);2015;1;18
AZUAY;PAUTE;PAUTE;Oportunas (hasta 30 días);2015;1;26
AZUAY;CUENCA;SAN BLAS;Tardías (pasado los 14 años);2015;1;6
AZUAY;NABON;NABON;Tardías (hasta 14 años);2015;1;9
AZUAY;GUALACEO;GUALACEO;Oportunas (hasta 30 días);2015;1;22
AZUAY;CUENCA;SAN BLAS;Tardías (hasta 14 años);2015;2;405
AZUAY;CUENCA;SAN BLAS;Tardías (pasado los 14 años);2015;2;6
AZUAY;NABON;NABON;Oportunas (hasta 30 días);2015;2;3
AZUAY;NABON;NABON;Tardías (hasta 14 años);2015;2;20
AZUAY;SANTA ISABEL;SANTA ISABEL;Oportunas (hasta 30 días);2015;2;17
AZUAY;PAUTE;PAUTE;Oportunas (hasta 30 días);2015;2;22
AZUAY;GIRON;GIRON;Oportunas (hasta 30 días);2015;2;4
AZUAY;CUENCA;SAN BLAS;Oportunas (hasta 30 días);2015;2;554
AZUAY;SIGSIG;SIGSIG;Tardías (hasta 14 años);2015;2;20
AZUAY;CUENCA;SAN BLAS;Tardías occuridas en el exterior;2015;2;25
